TEST: 3.991421e+00 1.000000e+00
#Spinodal:
#phi_sp1: 0.002865 0.008207
#phi_sp2: 0.874371 0.175487
#Binodal:
#phi_bn1: 0.000000 0.000000
#phi_bn2: 0.992608 -0.007136
#Critical point:
#phi_cr: 0.123899
#chi_cr: 0.651421
0.000000 0.000000
0.010101 0.028932
0.020202 0.057433
0.030303 0.085329
0.040404 0.112584
0.050505 0.139182
0.060606 0.165114
0.070707 0.190374
0.080808 0.214958
0.090909 0.238864
0.101010 0.262090
0.111111 0.284636
0.121212 0.306500
0.131313 0.327682
0.141414 0.348183
0.151515 0.368003
0.161616 0.387142
0.171717 0.405601
0.181818 0.423381
0.191919 0.440482
0.202020 0.456905
0.212121 0.472652
0.222222 0.487724
0.232323 0.502121
0.242424 0.515846
0.252525 0.528899
0.262626 0.541282
0.272727 0.552997
0.282828 0.564045
0.292929 0.574429
0.303030 0.584149
0.313131 0.593207
0.323232 0.601606
0.333333 0.609348
0.343434 0.616435
0.353535 0.622868
0.363636 0.628651
0.373737 0.633785
0.383838 0.638272
0.393939 0.642117
0.404040 0.645320
0.414141 0.647885
0.424242 0.649815
0.434343 0.651112
0.444444 0.651780
0.454545 0.651821
0.464646 0.651240
0.474747 0.650039
0.484848 0.648222
0.494949 0.645793
0.505051 0.642756
0.515152 0.639114
0.525253 0.634872
0.535354 0.630035
0.545455 0.624606
0.555556 0.618592
0.565657 0.611996
0.575758 0.604824
0.585859 0.597081
0.595960 0.588774
0.606061 0.579909
0.616162 0.570491
0.626263 0.560528
0.636364 0.550027
0.646465 0.538995
0.656566 0.527441
0.666667 0.515372
0.676768 0.502798
0.686869 0.489728
0.696970 0.476173
0.707071 0.462143
0.717172 0.447649
0.727273 0.432705
0.737374 0.417323
0.747475 0.401518
0.757576 0.385306
0.767677 0.368702
0.777778 0.351726
0.787879 0.334398
0.797980 0.316739
0.808081 0.298773
0.818182 0.280527
0.828283 0.262031
0.838384 0.243317
0.848485 0.224423
0.858586 0.205390
0.868687 0.186268
0.878788 0.167111
0.888889 0.147984
0.898990 0.128965
0.909091 0.110146
0.919192 0.091639
0.929293 0.073586
0.939394 0.056168
0.949495 0.039630
0.959596 0.024313
0.969697 0.010735
0.979798 -0.000222
0.989899 -0.006706
1.000000 0.000000
