   Ars-CR      Control      Ars-AR   
  AS-cytoplasm-totalRNA      "Fresh cells-totalRNA"      AS-aggresome-totalRNA    
 "length in nucleotide" "intensity 1" "intensity 2" "intensity 3" average bar  "intensity 1" "intensity 2" "intensity 3" average bar  "intensity 1" "intensity 2" "intensity 3" average bar
0 0 0 0 0 0 0  0 0 0 0 0  0 0 0 0 0
1 21.2285785004526 20.5479453676112 13.6986302450741 22.5 18.9155252042284 4.62218823535942  21.9597319959623 13.4225166069587 10.7003891050584 15.3608792359931 5.87461810205268  27.3946902677698 21.3662531989642 11.8990956687292 20.2200130451544 7.81113070317662
2 21.2286142458657 20.5479453676112 20.5479453676112 28 23.0319635784075 4.30244574802547  27.7771082244779 26.8450332139175 16.5369649805447 23.7197021396467 6.23786628414607  27.3946902677698 21.3662531989642 16.1827701094717 21.6479045254019 5.61126402972413
3 21.2291459386739 20.5479453676112 15.3155342448969 17 17.621159870836 2.67093826737513  13.888554112239 33.5562910341863 21.8871595330739 23.1106682264997 9.89078859595628  20.5460177008274 21.3662531989642 10.4712041884817 17.4611583627578 6.06735453776689
4 21.232591173862 13.6986302450741 27.3972604901482 11 17.3652969117408 8.79209140243532  20.8328311683585 26.8450332139175 17.0233463035019 21.5670702285926 4.9518394248741  48.4274276734307 27.0264103208706 21.4183722037125 32.2907367326713 14.2533195701586
5 21.2468691407928 28.2404495311517 20.5479453676112 11 19.9294649662543 8.63684916588186  31.055750668212 21.2228620069544 21.8871595330739 24.7219240694134 5.49530184235027  27.3946902677698 20.269807740653 16.1827701094717 21.2824227059648 5.67413695728196
6 21.2917440380837 15.3155342448969 29.0591827365415 22.5 22.2915723271461 6.87419450092734  34.7213847806095 27.6712266875127 21.8871595330739 28.0932570003987 6.42751247488996  29.0564566040585 20.269807740653 21.8943360304617 23.7402001250577 4.67511606850412
7 21.4086920231983 30.6310679966432 6.84931512253706 17 18.1601277063934 11.9332461913186  20.8328311683585 20.1337749104381 38.4241245136187 26.4635768641384 10.3640337209771  34.2433623416079 27.0264103208706 21.4183722037125 27.562714955397 6.42929311861261
8 21.6749628894718 28.2404495311517 48.4319712275691 22.5 33.0574735862403 13.6205570186151  20.8328311683585 46.978807641145 27.2373540856031 31.6829976317022 13.6281264792012  41.0920349085503 33.7830124146129 27.1299381247025 34.0016618159552 6.98361599179922
9 22.2224330310314 21.6594359976264 34.2465751195346 34 29.968670372387 7.1970641058296  49.1034534929776 53.6900659446244 37.9377431906615 46.9104208760878 8.10191101409483  54.7893800424353 36.3854183077052 37.6011423131842 42.9253135544416 10.2925483451877
