exponent Prefac err DeltaH err R2
1.000000 0.316275 0.083062 0.005481 0.000694 0.989378
0.900000 0.276715 0.073081 0.010978 0.001334 0.990081
0.800000 0.234491 0.063309 0.022059 0.002589 0.990629
0.700000 0.189763 0.053620 0.044576 0.005110 0.990990
0.680000 0.180565 0.051672 0.051361 0.005869 0.991037
0.670000 0.175941 0.050695 0.055140 0.006293 0.991057
0.666667 0.174396 0.050369 0.056462 0.006441 0.991063
0.640000 0.208269 0.063672 0.060000 0.008056 0.990430
0.620000 0.253764 0.086539 0.060000 0.010180 0.988518
0.600000 0.302467 0.116850 0.060000 0.013058 0.985822
0.500000 0.565158 0.358312 0.060000 0.039606 0.969752
