 #RNA_length       Iratio   Iratio_err
2.511164e+01 9.828261e-01 3.384288e-02
2.823394e+01 2.281586e-01 2.855329e-02
3.327148e+01 1.128045e-01 8.500617e-03
4.108735e+01 1.102536e-01 1.282366e-02
5.279922e+01 1.268135e-01 1.684298e-02
6.979983e+01 4.005137e-01 3.300075e-02
9.375046e+01 6.093695e-01 2.478505e-02
1.265298e+02 8.364545e-01 5.510266e-02
1.701198e+02 1.134445e+00 7.077858e-02
2.264128e+02 1.605368e+00 1.129308e-01
2.969427e+02 2.443336e+00 1.529028e-01
3.825630e+02 4.194787e+00 3.537646e-01
4.831355e+02 7.028321e+00 3.909189e-01
5.973158e+02 1.476882e+01 1.570702e+00
7.225238e+02 1.765255e+01 1.477162e+00
9.833055e+02 2.553220e+01 6.094811e+00
