#Settings
#Ntime 4096000
#Nprint 40960
#tstart 0.000000e+00
#LX 1.000000e+03
#LY 3.000000e+03
#dx 5.000000e+01
#NX 20
#NY 60
#DA 0.000000e+00
#DBin 1.000000e-04
#DBout 4.000000e-04
#epsAA -2.000000e+00
#epsAB -2.500000e+00
#DBout 4.000000e-04
#nA 4.000000e+02
#nB 3.200000e+02
#tbleach 6.000000e+02
#Xbleach 1.000000e+01
#Ybleach 3.333333e+00
#bleach_radius[micron] 3.700000e-01
#==
Fixed Aggresome Mode - Number of proteins override:
#nA 3.350000e+02
#nB 3.350000e+02
    #time[s]  frap[#proteins]        Ahops        Bhops  accepted[%]     cin/cout
2.677395e+01                0            0         1571          3.8     8.51e+00
5.358661e+01                0            0         3149          3.8     7.48e+00
8.014473e+01                0            0         4762          3.9     6.52e+00
1.065327e+02                0            0         6343          3.9     6.34e+00
1.331865e+02                0            0         7923          3.9     5.98e+00
1.598778e+02                0            0         9525          3.9     5.35e+00
1.864376e+02                0            0        11136          3.9     5.07e+00
2.131512e+02                0            0        12820          3.9     4.81e+00
2.397228e+02                0            0        14503          3.9     4.69e+00
2.663199e+02                0            0        16224          4.0     4.45e+00
2.929829e+02                0            0        18009          4.0     4.23e+00
3.198605e+02                0            0        19750          4.0     4.12e+00
3.464617e+02                0            0        21457          4.0     3.97e+00
3.729277e+02                0            0        23240          4.1     3.87e+00
3.994843e+02                0            0        24901          4.1     3.83e+00
4.262451e+02                0            0        26656          4.1     3.55e+00
4.531211e+02                0            0        28315          4.1     3.22e+00
4.799566e+02                0            0        30136          4.1     3.42e+00
5.065592e+02                0            0        31780          4.1     3.38e+00
5.330256e+02                0            0        33542          4.1     3.30e+00
5.597030e+02                0            0        35255          4.1     3.22e+00
5.865022e+02                0            0        36987          4.1     3.47e+00
6.000005e+02     0.000000e+00            0        37939          4.1     3.60e+00
6.000012e+02     0.000000e+00            0        37939          4.1     3.60e+00
6.000049e+02     0.000000e+00            0        37939          4.1     3.60e+00
6.000073e+02     0.000000e+00            0        37939          4.1     3.60e+00
6.000093e+02     0.000000e+00            0        37939          4.1     3.60e+00
6.000117e+02     0.000000e+00            0        37939          4.1     3.60e+00
6.000141e+02     0.000000e+00            0        37939          4.1     3.60e+00
6.000194e+02     0.000000e+00            0        37940          4.1     3.60e+00
6.000294e+02     0.000000e+00            0        37940          4.1     3.60e+00
6.000450e+02     0.000000e+00            0        37940          4.1     3.60e+00
6.000650e+02     0.000000e+00            0        37942          4.1     3.60e+00
6.000939e+02     0.000000e+00            0        37944          4.1     3.60e+00
6.001343e+02     0.000000e+00            0        37948          4.1     3.55e+00
6.001989e+02     0.000000e+00            0        37952          4.1     3.55e+00
6.003013e+02     0.000000e+00            0        37961          4.1     3.55e+00
6.004518e+02     0.000000e+00            0        37970          4.1     3.55e+00
6.006882e+02     1.974448e-02            0        37980          4.1     3.60e+00
6.010279e+02     1.978022e-02            0        37995          4.1     3.60e+00
6.015606e+02     1.979167e-02            0        38032          4.1     3.55e+00
6.023483e+02     1.980198e-02            0        38087          4.1     3.55e+00
6.034928e+02     1.981132e-02            0        38154          4.1     3.55e+00
6.052813e+02     5.935252e-02            0        38285          4.1     3.60e+00
6.079388e+02     9.871245e-02            0        38444          4.1     3.51e+00
6.119170e+02     5.916187e-02            0        38688          4.1     3.55e+00
6.131070e+02     5.905512e-02            0        38767          4.1     3.60e+00
6.267147e+02     1.374622e-01            0        39696          4.1     3.47e+00
6.397470e+02     1.568627e-01            0        40538          4.1     3.60e+00
6.600207e+02     1.764706e-01            0        41841          4.1     3.51e+00
6.663655e+02     1.966102e-01            0        42230          4.1     3.55e+00
6.930812e+02     2.166776e-01            0        43934          4.1     3.42e+00
7.198308e+02     2.561983e-01            0        45733          4.1     3.15e+00
7.466141e+02     1.976529e-01            0        47450          4.1     3.11e+00
7.731802e+02     2.960526e-01            0        49208          4.1     3.07e+00
7.998192e+02     2.963393e-01            0        50985          4.1     2.96e+00
