#Settings
#Ntime 4096000
#Nprint 40960
#tstart 0.000000e+00
#LX 1.000000e+03
#LY 3.000000e+03
#dx 5.000000e+01
#NX 20
#NY 60
#DA 0.000000e+00
#DBin 1.000000e-04
#DBout 4.000000e-04
#epsAA -2.000000e+00
#epsAB -2.500000e+00
#DBout 4.000000e-04
#nA 4.000000e+02
#nB 3.200000e+02
#tbleach 6.000000e+02
#Xbleach 1.000000e+01
#Ybleach 1.000000e+01
#bleach_radius[micron] 3.700000e-01
#==
Fixed Aggresome Mode - Number of proteins override:
#nA 3.370000e+02
#nB 3.370000e+02
    #time[s]  frap[#proteins]        Ahops        Bhops  accepted[%]     cin/cout
2.671840e+01                0            0         1641          4.0     7.96e+00
5.330629e+01                0            0         3216          3.9     6.92e+00
8.018471e+01                0            0         4922          4.0     6.16e+00
1.066661e+02                0            0         6581          4.0     5.58e+00
1.332747e+02                0            0         8191          4.0     5.50e+00
1.602756e+02                0            0         9878          4.0     5.08e+00
1.868542e+02                0            0        11519          4.0     5.21e+00
2.135027e+02                0            0        13063          4.0     4.94e+00
2.401756e+02                0            0        14713          4.0     5.01e+00
2.670864e+02                0            0        16440          4.0     4.82e+00
2.938347e+02                0            0        18081          4.0     4.40e+00
3.205272e+02                0            0        19646          4.0     4.51e+00
3.471735e+02                0            0        21267          4.0     4.29e+00
3.739662e+02                0            0        22928          4.0     4.40e+00
4.006886e+02                0            0        24565          4.0     3.98e+00
4.275053e+02                0            0        26219          4.0     3.78e+00
4.541226e+02                0            0        27905          4.0     3.74e+00
4.808062e+02                0            0        29676          4.0     3.78e+00
5.074007e+02                0            0        31401          4.0     3.93e+00
5.343346e+02                0            0        33204          4.1     3.78e+00
5.610709e+02                0            0        34892          4.1     3.78e+00
5.878561e+02                0            0        36593          4.1     3.56e+00
6.000018e+02     0.000000e+00            0        37363          4.1     3.60e+00
6.000029e+02     0.000000e+00            0        37363          4.1     3.60e+00
6.000041e+02     0.000000e+00            0        37363          4.1     3.60e+00
6.000071e+02     0.000000e+00            0        37363          4.1     3.60e+00
6.000084e+02     0.000000e+00            0        37364          4.1     3.60e+00
6.000112e+02     0.000000e+00            0        37365          4.1     3.60e+00
6.000152e+02     0.000000e+00            0        37366          4.1     3.60e+00
6.000232e+02     0.000000e+00            0        37366          4.1     3.60e+00
6.000354e+02     0.000000e+00            0        37367          4.1     3.60e+00
